version,base version,scenario,solution,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23061.8,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T13:26:02.4713813Z,20.5403956,19.4372076,105.67565065261739
8.0.100-alpha.1.23061.8,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T13:26:02.4713813Z,13.8657891,13.17512,105.24222246173092
8.0.100-alpha.1.23061.8,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T13:26:02.4713813Z,9.7578678,8.8125752,110.72663300507213
8.0.100-alpha.1.23061.8,7.0.100,warmup,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,21.2692395,19.0183684,111.83524818038543
8.0.100-alpha.1.23061.8,7.0.100,arctic,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,19.0540867,17.9004298,106.44485586597479
8.0.100-alpha.1.23061.8,7.0.100,cold,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,14.6587776,14.9858421,97.81751003502166
8.0.100-alpha.1.23061.8,7.0.100,force,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,5.379057,5.2638803,102.18805697386395
8.0.100-alpha.1.23061.8,7.0.100,noop,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,4.1065792,3.9638583,103.60055504506806
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,705.1533845,122.4527646,575.8574637358576
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,403.9525886,72.7331363,555.3900314896775
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,357.0023876,63.0092279,566.5874658337149
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,662.7991952,93.8633893,706.131751839479
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,12.095668,12.2085104,99.07570705759484
8.0.100-alpha.1.23061.8,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-12T14:19:51.2896348Z,93.7907528,102.0459529,91.91031112415631
8.0.100-alpha.1.23061.8,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-12T14:19:51.2896348Z,109.2332445,92.7002964,117.83483844394698
8.0.100-alpha.1.23061.8,7.0.100,cold,NuGetClient-win-d76a117,2023-01-12T14:19:51.2896348Z,86.4212776,87.0534474,99.27381416947767
8.0.100-alpha.1.23061.8,7.0.100,force,NuGetClient-win-d76a117,2023-01-12T14:19:51.2896348Z,14.8159944,14.6519055,101.11991508544742
8.0.100-alpha.1.23061.8,7.0.100,noop,NuGetClient-win-d76a117,2023-01-12T14:19:51.2896348Z,10.4124772,9.8451041,105.76299746794957
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-nostaticgraph-142722b,2023-01-12T14:19:29.0833892Z,635.7559536,115.6863147,549.5515655837553
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-nostaticgraph-142722b,2023-01-12T14:19:29.0833892Z,322.6418553,72.2304203,446.68417262414846
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T14:19:29.0833892Z,307.6050513,65.3956763,470.3752124052886
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T14:19:29.0833892Z,640.3008953,88.4967787,723.5301721778942
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T14:19:29.0833892Z,20.167982,20.224517,99.7204630399826
8.0.100-alpha.1.23061.8,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T14:15:25.1789259Z,27.3082701,23.8744722,114.38271753710225
8.0.100-alpha.1.23061.8,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T14:15:25.1789259Z,26.1166879,27.1848408,96.07077743122188
8.0.100-alpha.1.23061.8,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T14:15:25.1789259Z,19.7736537,19.4508753,101.65945436913064
8.0.100-alpha.1.23061.8,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T14:15:25.1789259Z,13.7414401,12.6590358,108.55044821028154
